id,firstname,lastname,full_name,birthday,age,weight,height,foot,club,national_team,country_of_birth,city_of_birth,position,role,status,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name,image_url,matches_played,total_shots,accurate_shots,shot_accuracy,goals,shot_conversion,penalties_taken,penalties_scored,penalty_conversion,total_passes,accurate_passes,pass_accuracy,key_passes,assists,run_attempts_with_ball,successful_runs_with_ball,perc_successful_runs_with_ball,crosses,dribbles,free_kick_shots,free_kick_crosses,aerial_duels,aerial_duels_won,perc_aerial_duels_won,ground_defensive_duels_won,loose_ball_duels,loose_balls_won,perc_loose_balls_won,sliding_tackles,interceptions,clearances,blocks,possession_regained,own_goals,gk_balls_attacked,gk_save_attempts,gk_successful_save_attempts,perc_gk_save_success,cluster,top_knn_ids
393228,malang,sarr,malang sarr,1999-01-23,17,73,182,left,o.g.c. nice cote d'azur,,France,Nice,DF,CB,Active,8000000.0,18000000.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/344596-1606395203.png?lm=1,21.0,6.0,1.0,16.7%,0.0,0.0%,0.0,0.0,0.0%,1030.0,925.0,89.8%,1.0,0.0,5.0,5.0,100.0%,1.0,4.0,0.0,1.0,48.0,28.0,58.3%,17.0,40.0,25.0,62.5%,8.0,71.0,0.0,9.0,79.0,0.0,0.0,0.0,0.0,0.0%,11,[  3644  85113  99410   3885 146569  20609  21004 101652  26024   3337]
32793,alfred john momar,n'diaye,alfred john momar n'diaye,1990-03-06,26,82,187,right,malaga club de futbol,senegal,France,Paris,MD,DM,Active,1200000.0,8000000.0,2024-06-30 00:00:00,3A,https://img.a.transfermarkt.technology/portrait/header/77737-1447257106.jpg?lm=1,4.0,0.0,0.0,0.0%,0.0,0.0%,0.0,0.0,0.0%,77.0,68.0,88.3%,0.0,0.0,1.0,1.0,100.0%,0.0,0.0,0.0,0.0,11.0,6.0,54.5%,8.0,8.0,2.0,25.0%,1.0,10.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0%,14,[523089  21078  14757 399673 397033 233855 116345  28364  26032 116170]
393247,ibrahima,konate,ibrahima konate,1999-05-25,17,84,192,right,rasen ballsport leipzig,,France,Paris,DF,CB,Active,35000000.0,45000000.0,2026-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/357119-1669190550.jpg?lm=1,16.0,0.0,0.0,0.0%,0.0,0.0%,0.0,0.0,0.0%,606.0,509.0,84.0%,1.0,0.0,1.0,1.0,100.0%,0.0,7.0,0.0,0.0,69.0,39.0,56.5%,27.0,46.0,29.0,63.0%,8.0,72.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0%,7,[ 26374 350569 295747  25885 355937   7958  19720 366217 256634  20808]
33,jasper,cillessen,jasper cillessen,1989-04-22,27,83,185,right,fc barcelona,,Netherlands,Nijmegen,GK,GK,Active,3000000.0,20000000.0,2025-06-30 00:00:00,SEG,https://img.a.transfermarkt.technology/portrait/header/146227-1660814229.jpg?lm=1,1.0,0.0,0.0,0.0%,0.0,0.0%,0.0,0.0,0.0%,19.0,14.0,73.7%,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0.0%,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,6.0,85.7%,20,[190168  20606 286981 149050   6363  26971  21128   8992 229078  14794]
36,toby,alderweireld,toby alderweireld,1989-03-02,27,91,187,right,tottenham hotspur fc,belgium,Belgium,Wilrijk,DF,CB,Active,4000000.0,40000000.0,2025-06-30 00:00:00,Stirr Associates,https://img.a.transfermarkt.technology/portrait/header/42710-1664349412.jpg?lm=1,25.0,21.0,5.0,23.8%,1.0,4.8%,0.0,0.0,0.0%,1551.0,1381.0,89.0%,3.0,1.0,2.0,2.0,100.0%,5.0,5.0,0.0,0.0,87.0,36.0,41.4%,33.0,50.0,25.0,50.0%,5.0,107.0,0.0,2.0,112.0,0.0,0.0,0.0,0.0,0.0%,17,[ 25643 266286 301013 228768   3573  40539 125286 227894  14870 275384]
48,jan,vertonghen,jan vertonghen,1987-04-24,29,88,189,left,tottenham hotspur fc,belgium,Belgium,Sint-Niklaas,DF,CB,Active,1800000.0,32000000.0,2024-06-30 00:00:00,A-GROUP,https://img.a.transfermarkt.technology/portrait/header/43250-1668080180.jpg?lm=1,46.0,26.0,5.0,19.2%,1.0,3.8%,0.0,0.0,0.0%,2856.0,2534.0,88.7%,4.0,0.0,15.0,14.0,93.3%,12.0,22.0,0.0,0.0,249.0,159.0,63.9%,81.0,116.0,69.0,59.5%,49.0,266.0,0.0,20.0,318.0,0.0,0.0,0.0,0.0,0.0%,1,[  8653  70086  25826 265366 364860  55990   7899  70122  56441  26508]
229427,alexander,djiku,alexander djiku,1994-08-09,22,74,182,right,stade malherbe caen,,France,Montpellier,DF,CB,Active,8000000.0,10000000.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/250844-1499758652.jpg?lm=1,28.0,13.0,1.0,7.7%,0.0,0.0%,0.0,0.0,0.0%,1207.0,1026.0,85.0%,0.0,0.0,6.0,5.0,83.3%,2.0,7.0,0.0,2.0,156.0,93.0,59.6%,73.0,106.0,54.0,50.9%,13.0,170.0,0.0,3.0,185.0,0.0,0.0,0.0,0.0,0.0%,11,[ 65075 268776   3431 290119 134503   3671  15719   4805  26021  16843]
54,christian,dannemann eriksen,christian dannemann eriksen,1992-02-14,24,76,180,right,tottenham hotspur fc,denmark,Denmark,Middelfart,MD,AM,Active,25000000.0,100000000.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/69633-1668184209.jpg?lm=1,41.0,90.0,35.0,38.9%,11.0,12.2%,1.0,0.0,0.0%,2350.0,1928.0,82.0%,27.0,10.0,37.0,33.0,89.2%,31.0,38.0,8.0,20.0,57.0,20.0,35.1%,32.0,122.0,50.0,41.0%,1.0,119.0,0.0,66.0,142.0,0.0,0.0,0.0,0.0,0.0%,3,[ 38021 230883  14812 278289   8317 226200  16432  13484  25715   8471]
65596,marcel,sabitzer,marcel sabitzer,1994-03-17,22,74,177,right,rasen ballsport leipzig,,Austria,Wels,MD,CM,Active,20000000.0,42000000.0,2023-06-30 00:00:00,ROGON,https://img.a.transfermarkt.technology/portrait/header/106987-1613997164.jpg?lm=1,25.0,59.0,22.0,37.3%,3.0,5.1%,0.0,0.0,0.0%,908.0,662.0,72.9%,12.0,4.0,9.0,9.0,100.0%,26.0,33.0,2.0,3.0,36.0,17.0,47.2%,20.0,75.0,31.0,41.3%,9.0,85.0,0.0,33.0,105.0,0.0,0.0,0.0,0.0,0.0%,3,[224680 230020  25804  25950 372752  43196  15456  14696 142755  70156]
66,kolbeinn,sigthorsson,kolbeinn sigthorsson,1990-03-14,26,84,186,right,fc nantes,,Iceland,Reykjavík,FW,CF,Active,150000.0,5000000.0,,,https://img.a.transfermarkt.technology/portrait/header/52246-1473587731.jpeg?lm=1,7.0,5.0,2.0,40.0%,2.0,40.0%,0.0,0.0,0.0%,75.0,51.0,68.0%,0.0,0.0,0.0,0.0,0.0%,0.0,1.0,0.0,0.0,97.0,52.0,53.6%,10.0,29.0,10.0,34.5%,0.0,18.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0%,0,[278324 239294   8374  50461 279709 352328 268180 274970 366546 449985]
